"% Modified from: A23.globaltech_capacity_factor.csv  , located at .\input\gcamdata\inst\extdata\energy\A23.globaltech_capacity_factor.csv",
% Values calculated from an average of the capacity factors of the technologies within each subsector,
"% Exceptions: (1) For ""m Solar"" capacity factor the CSP_storage capacity factor value of 0.65 was excluded from the average. (2) The ""k Hydro"" capacity factor was sourced from Global CCS Institute ""Renewable power generation costs in 2012: an overview"" - 5.2 Capacity factors for hydropower, since hydropower is calculated endogenously within GCAM. (3) No cogeneration capacity factor ""n CHP"" was given. ",
class1,cf1971to2100
a Coal,0.8125
c Gas,0.816666667
e Oil,0.816666667
g Biomass,0.825
i Nuclear,0.9
j Geothermal,0.9
k Hydro,0.5
l Wind,0.37
m Solar,0.216666667
n CHP,
